id,label,count,start,end
#teammacron,#teammacron,227,2017-01-04,2017-05-31
#sviluppu,#sviluppu,2,2017-01-30,2017-02-22
#directan,#directan,352,2017-01-10,2017-05-16
#lcp,#lcp,21,2017-01-09,2017-05-09
#mediterraniu,#mediterraniu,1,2017-02-22,2017-02-22
#tamantastrada,#tamantastrada,1,2017-02-22,2017-02-22
#devoirdevigilance,#devoirdevigilance,22,2017-01-26,2017-05-18
#justice,#justice,22,2017-01-04,2017-05-31
#marinelepen,#marinelepen,19,2017-01-11,2017-05-29
#collectiviteunique,#collectiviteunique,1,2017-02-21,2017-02-21
#forza,#forza,1,2017-02-21,2017-02-21
#lozzipleinderessources,#lozzipleinderessources,7,2017-02-19,2017-02-19
#populisme,#populisme,1,2017-02-19,2017-02-19
#otcentru,#otcentru,1,2017-02-19,2017-02-19
#ridicule,#ridicule,5,2017-02-19,2017-03-22
#4emeflop,#4emeflop,1,2017-02-19,2017-02-19
#3emeflop,#3emeflop,1,2017-02-19,2017-02-19
#2emeflop,#2emeflop,1,2017-02-19,2017-02-19
#conversion,#conversion,1,2017-02-19,2017-02-19
#circuitscourts,#circuitscourts,8,2017-02-09,2017-05-30
#legrandrdv,#legrandrdv,78,2017-01-22,2017-05-21
#schengen,#schengen,9,2017-02-09,2017-04-20
#trump,#trump,88,2017-01-04,2017-05-31
#majoritépénale,#majoritépénale,3,2017-02-15,2017-02-17
#evisa,#evisa,1,2017-02-16,2017-02-16
#comitedemassifcorse,#comitedemassifcorse,3,2017-02-16,2017-02-16
#sulidariidiescoledimuntagna,#sulidariidiescoledimuntagna,1,2017-02-16,2017-02-16
#vicu,#vicu,1,2017-02-16,2017-02-16
#programme,#programme,15,2017-01-31,2017-05-25
#macronalger,#macronalger,1,2017-02-16,2017-02-16
#copaauropeana,#copaauropeana,1,2017-02-15,2017-02-15
#aripressionebasta,#aripressionebasta,1,2017-02-15,2017-02-15
#psgfcb,#psgfcb,4,2017-02-14,2017-02-14
#ethique,#ethique,13,2017-01-12,2017-05-03
#politique,#politique,45,2017-01-05,2017-05-31
#francoisfillon,#francoisfillon,18,2017-01-29,2017-04-19
#deficitbudgetaire,#deficitbudgetaire,1,2017-02-14,2017-02-14
#qag,#qag,127,2017-01-10,2017-02-23
#jpo,#jpo,1,2017-02-12,2017-02-12
#hivernales,#hivernales,1,2017-02-11,2017-02-11
#verghju,#verghju,1,2017-02-11,2017-02-11
#montagne,#montagne,2,2017-02-11,2017-04-01
#comitedemassif,#comitedemassif,1,2017-02-11,2017-02-11
