id,label,username,followers
1890087739,josypoueyto,Josy Poueyto,2827.0
913087858679930880,DeputeRatenon,Jean-Hugues Ratenon,6456.0
2248616800,damienmaudt,Damien Maudet,4671.0
863134711715180544,MARSAUDSandra,Sandra Marsaud,6619.0
738724327059656705,HenrietPierre,Pierre Henriet,3908.0
1855097904,AurelienPradie,Aurélien Pradié,19894.0
1255991936,PA_Anglade,Pieyre-Alexandre Anglade,16605.0
266215308,alexiscorbiere,Alexis Corbière,150362.0
862952634164154368,JeanPierrePont,Jean-Pierre PONT,5993.0
889759349450604544,Cecile_Rilhac,Cécile RILHAC,5633.0
2712326416,JAviragnet,Joël Aviragnet,2931.0
869538181158498308,YHaury44,Yannick Haury,4101.0
110988733,dbrulebois,Danielle Brulebois,2668.0
298426715,p_brun,Philippe Brun,2251.0
4309055487,SophieMette1,Mette Sophie,1604.0
1140343519674023937,FMPasquini,Francesca Pasquini - Députée,1361.0
1897666344,veroniquebesse,Véronique Besse,3188.0
382178094,Inakiechaniz,Iñaki Echaniz,1213.0
606371561,MFesneau,Marc Fesneau,26959.0
1518571718553571328,WilliamJiovanny,Jiovanny William Législatives 2022,195.0
1467595663890436103,LionelVuibert,VUIBERT Lionel,287.0
233889326,FelicieGerard,Félicie GERARD,1541.0
865286612837650432,NicoleLePeih,Nicole Le Peih,5546.0
285185441,SebRome,Sébastien Rome,2414.0
464437513,VincentThiebaut,Vincent Thiébaut,5720.0
1070414962437296133,villedieu_a,Antoine Villedieu,1065.0
866081129048223746,lecocqcharlotte,Charlotte Parmentier Lecocq,6066.0
841988928802570240,AnneCecileVio,Anne-Cécile Violland,121.0
532293856,AndreChassaigne,André Chassaigne,16251.0
3311828213,EFolest,Estelle Folest,1487.0
1524389721094381569,GuyBricout,Guy Bricout,113.0
790535381062152192,LisettePollet,Lisette Pollet Ⓜ️ 🇫🇷,1250.0
1526954669473419265,MickaelCosson22,Mickaël Cosson,0.0
118061183,LeVigoureuxF,Fabrice Le Vigoureux,1553.0
3165960813,C_Dintorni,Christelle D'intorni,3841.0
493833484,sebchenu,Sébastien Chenu,40057.0
87886754,ECiotti,Eric Ciotti,237029.0
531116314,steve_parakao,Steve CHAILLOUX,18.0
371381075,sandrousseau,Sandrine Rousseau,87524.0
864238987669643265,StephaneBuchou,Stéphane Buchou,4816.0
458305330,ChristopheBex,Christophe Bex,4936.0
829686286097211392,DinoCinieri,Dino Cinieri,4782.0
742259173866508288,p_pradal,Philippe Pradal,4045.0
427246481,GuiraudInd,David Guiraud,104525.0
1533186142581006337,KarenErodi,Karen Erodi - Députée 2e circonscription du Tarn,966.0
72705507,fredvalletoux,Frédéric Valletoux,12375.0
880849230,XavierRoseren,Xavier Roseren,3637.0
2380233572,pdharreville,Pierre Dharréville,5642.0
303112391,stephane1peu,Stephane Peu,11940.0
1524390754486996992,LegavreJerome,Jérôme Legavre 🐢,2085.0
995646114396364808,JF_Rousset2,Jean-François Rousset,211.0
1186673785,isasantiago_94,Isabelle Santiago,3409.0
745992482387812352,christoblanchet,Christophe Blanchet,5725.0
862190399938539520,BrunoStuder67,Bruno Studer,8839.0
372703035,MoniqueIborra,Monique Iborra,6939.0
2261699515,pierrickbrtlo,Pierrick Berteloot,1105.0
254576489,AndyKerbrat2022,Andy Kerbrat🔻,4301.0
773993798,jfportarrieu,Jean-François Portarrieu,3107.0
1189104433,MKaramanli72,Marietta Karamanli,4375.0
1270648130,arenasrodrigo_,Rodrigo Arenas,4602.0
16787206,sandraregol,Sandra Regol 🌻🇺🇦,20186.0
338910451,ConstanceLeGrip,Constance Le Grip,13087.0
339155330,G_GouffierCha,Guillaume Gouffier,7545.0
1395290257331994626,MathieuFrdric,Frédéric MATHIEU,1644.0
300775504,david_valence,David Valence,4688.0
367809982,JPIerre_Taite,Taite Jean-Pierre,2437.0
91376641,sarahelhairy,Sarah EL HAÏRY,33463.0
818371524214329345,alma_dufour,Alma Dufour ✌,15937.0
863155122041483264,brigitte_liso,Brigitte Liso,4892.0
1410346277540335616,Sylv20CARRIERE,CARRIERE Sylvain,2299.0
